28.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/28.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/29.ll']' returned non-zero exit status 1.
29.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/29.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/30.ll']' returned non-zero exit status 1.
30.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/30.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/31.ll']' returned non-zero exit status 1.
31.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/31.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/32.ll']' returned non-zero exit status 1.
33.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/33.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/34.ll']' returned non-zero exit status 1.
34.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/34.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/35.ll']' returned non-zero exit status 1.
35.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/35.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/36.ll']' returned non-zero exit status 1.
36.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/36.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/37.ll']' returned non-zero exit status 1.
37.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/37.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/38.ll']' returned non-zero exit status 1.
39.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/39.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/40.ll']' returned non-zero exit status 1.
40.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/40.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/41.ll']' returned non-zero exit status 1.
41.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/41.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/42.ll']' returned non-zero exit status 1.
42.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/42.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/43.ll']' returned non-zero exit status 1.
43.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/43.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/44.ll']' returned non-zero exit status 1.
