Edge_Key,Heuristic_Taken,Heuristic_Not_Taken
"86,87",0.5,0.5
"86,103",0.5,0.5
"91,92",0.5,0.5
"91,97",0.5,0.5
"107,108",0.5,0.5
"107,113",0.5,0.5
"124,125",0.5,0.5
"124,130",0.5,0.5
"134,135",0.5,0.5
"134,140",0.5,0.5
"152,153",0.5,0.5
"152,164",0.5,0.5
"158,159",0.5,0.5
"158,164",0.5,0.5
"189,190",0.5,0.5
"189,195",0.5,0.5
"194,201",0.38,0.62
"194,195",0.62,0.38
"200,201",0.5,0.5
"200,206",0.5,0.5
"210,211",0.5,0.5
"210,216",0.5,0.5
"220,221",0.5,0.5
"220,226",0.5,0.5
