Edge_Key,Heuristic_Taken,Heuristic_Not_Taken
"27,28",0.97,0.03
"27,53",0.03,0.97
"35,36",0.5,0.5
"35,48",0.5,0.5
"95,96",0.5,0.5
"95,112",0.5,0.5
